Sample in Buffer,Sample in Window,TRIGGER,ad_data_IBUF[7:0]
395,395,0,df
396,396,0,df
397,397,0,df
398,398,0,df
399,399,0,df
400,400,0,df
401,401,0,df
402,402,0,df
403,403,0,df
404,404,0,df
405,405,0,df
406,406,0,df
407,407,0,df
408,408,0,df
409,409,0,df
410,410,0,df
411,411,0,df
412,412,0,df
413,413,0,df
414,414,0,df
415,415,0,df
416,416,0,df
417,417,0,df
418,418,0,df
419,419,0,df
420,420,0,df
421,421,0,df
422,422,0,df
423,423,0,df
424,424,0,df
425,425,0,df
426,426,0,df
427,427,0,df
428,428,0,df
429,429,0,df
430,430,0,df
431,431,0,df
432,432,0,df
433,433,0,df
434,434,0,df
435,435,0,df
436,436,0,df
437,437,0,df
438,438,0,df
439,439,0,df
440,440,0,df
441,441,0,df
442,442,0,df
443,443,0,df
444,444,0,df
445,445,0,df
446,446,0,df
447,447,0,df
448,448,0,df
449,449,0,df
450,450,0,df
451,451,0,df
452,452,0,df
453,453,0,df
454,454,0,df
455,455,0,df
456,456,0,df
457,457,0,df
458,458,0,df
459,459,0,df
460,460,0,df
461,461,0,df
462,462,0,df
463,463,0,df
464,464,0,df
465,465,0,df
466,466,0,df
467,467,0,df
468,468,0,df
469,469,0,df
470,470,0,df
471,471,0,df
472,472,0,df
473,473,0,df
474,474,0,df
475,475,0,df
476,476,0,df
477,477,0,df
478,478,0,df
479,479,0,df
480,480,0,df
481,481,0,df
482,482,0,df
483,483,0,df
484,484,0,df
485,485,0,df
486,486,0,df
487,487,0,df
488,488,0,df
489,489,0,df
490,490,0,df
491,491,0,df
492,492,0,df
493,493,0,df
494,494,0,df
495,495,0,df
496,496,0,df
497,497,0,df
498,498,0,df
499,499,0,df
500,500,0,df
501,501,0,df
502,502,0,df
503,503,0,df
504,504,0,df
505,505,0,df
506,506,0,df
507,507,0,df
508,508,0,df
509,509,0,df
510,510,0,df
511,511,0,df
512,512,1,df
513,513,0,df
514,514,0,df
515,515,0,df
516,516,0,df
517,517,0,df
518,518,0,df
519,519,0,df
520,520,0,df
521,521,0,df
522,522,0,df
523,523,0,df
524,524,0,df
525,525,0,df
526,526,0,df
527,527,0,df
528,528,0,df
529,529,0,df
530,530,0,df
531,531,0,df
532,532,0,df
533,533,0,df
534,534,0,df
535,535,0,df
536,536,0,df
537,537,0,df
538,538,0,df
539,539,0,df
540,540,0,df
541,541,0,df
542,542,0,df
543,543,0,df
544,544,0,df
545,545,0,df
546,546,0,df
547,547,0,df
548,548,0,df
549,549,0,df
550,550,0,df
551,551,0,df
552,552,0,df
553,553,0,df
554,554,0,df
555,555,0,df
556,556,0,df
557,557,0,df
558,558,0,df
559,559,0,df
560,560,0,df
561,561,0,df
562,562,0,df
563,563,0,df
564,564,0,df
565,565,0,df
566,566,0,df
567,567,0,df
568,568,0,df
569,569,0,df
570,570,0,df
571,571,0,df
572,572,0,df
573,573,0,df
574,574,0,df
575,575,0,df
576,576,0,df
577,577,0,df
578,578,0,df
579,579,0,df
580,580,0,df
581,581,0,df
582,582,0,df
583,583,0,df
584,584,0,df
585,585,0,df
586,586,0,df
587,587,0,df
588,588,0,df
589,589,0,df
590,590,0,df
591,591,0,df
592,592,0,df
593,593,0,df
594,594,0,df
595,595,0,df
596,596,0,df
597,597,0,df
598,598,0,df
599,599,0,df
600,600,0,df
601,601,0,df
602,602,0,df
603,603,0,df
604,604,0,df
605,605,0,df
606,606,0,df
607,607,0,df
608,608,0,df
609,609,0,df
